pp_idx,ppci_idx,name,vn_kv
0,0,CNN_121K_E_20325_4,110.0
2216,0,CNN_121K_E_20325_10,110.0
2248,0,CNN_121K_E_20325_8,110.0
248,0,CNN_121K_E_20325_11,110.0
1314,0,CNN_121K_E_20325_6,110.0
3120,0,CNN_121K_E_20325_2,110.0
2249,0,CNN_121K_E_20325_9,110.0
2751,0,CNN_121K_E_20325_7,110.0
2332,0,CNN_121K_E_20325_5,110.0
2416,0,CNN_121K_E_20325_12,110.0
3486,1,CNN_2Z_E_5490_4,110.0
1069,1,CNN_2Z_E_5490_7,110.0
2309,1,CNN_2Z_E_5490_9,110.0
2458,1,CNN_2Z_E_5490_6,110.0
548,1,CNN_2Z_E_5490_13,110.0
743,1,CNN_2Z_E_5490_10,110.0
1299,1,CNN_2Z_E_5490_2,110.0
1,1,CNN_2Z_E_5490_12,110.0
1726,1,CNN_2Z_E_5490_11,110.0
3255,1,CNN_2Z_E_5490_14,110.0
602,2,CNN_168F_E_29689_7,110.0
3125,2,CNN_168F_E_29689_1,110.0
3167,2,CNN_168F_E_29689_5,110.0
700,2,CNN_168F_E_29689_6,110.0
1649,2,CNN_168F_E_29689_3,110.0
3557,2,CNN_168F_E_29689_4,110.0
2,2,CNN_168F_E_29689_8,110.0
1396,2,CNN_168F_E_29689_9,110.0
272,2,CNN_168F_E_29689_10,110.0
1653,3,CNN_629_J_19740_11,20.0
8,3,CNN_629_J_19740_37,20.0
12,4,CNN_0503251810190416964152_E_103,110.0
591,4,CNN_0503251810190416964152_E_103,110.0
3430,4,CNN_0503251810190416964152_E_103,110.0
19,5,CNN_61501.37C X6/1 grün_E_5525_1,110.0
813,5,CNN_61501.37C X6/1 grün_E_5525_2,110.0
3669,6,CNN_249K_J_29023_2,6.0
20,6,CNN_249K_J_29023_4,6.0
3308,6,CNN_249K_J_29023_6,6.0
2936,6,CNN_249K_J_29023_1,6.0
1077,6,CNN_249K_J_29023_5,6.0
2086,7,CNN_490N_J_3340_1,6.0
910,7,CNN_490N_J_3340_3,6.0
22,7,CNN_490N_J_3340_4,6.0
752,7,CNN_490N_J_3340_5,6.0
2134,7,CNN_490N_J_3340_6,6.0
2386,8,CNN_651_E_11941_2,110.0
24,8,CNN_651_E_11941_3,110.0
2940,9,CNN_114B_E_12889_1,110.0
3519,9,CNN_114B_E_12889_3,110.0
26,9,CNN_114B_E_12889_4,110.0
851,10,CNN_0504161613250201014072_E_331,110.0
1810,10,CNN_0504161613250201014072_E_331,110.0
49,10,CNN_0504161613250201014072_E_331,110.0
1594,11,CNN_0503251419100004533638_E_967,110.0
56,11,CNN_0503251419100004533638_E_967,110.0
2627,11,CNN_0503251419100004533638_E_967,110.0
58,12,CNN_648E_J_29909_38,20.0
1641,12,CNN_648E_J_29909_10,20.0
3715,13,CNN_1005091115250417830182_E_105,110.0
59,13,CNN_1005091115250417830182_E_105,110.0
622,13,CNN_1005091115250417830182_E_105,110.0
2616,14,CNN_340M_E_17139_12,110.0
780,14,CNN_340M_E_17139_4,110.0
112,14,CNN_340M_E_17139_5,110.0
2165,14,CNN_340M_E_17139_10,110.0
1531,14,CNN_340M_E_17139_8,110.0
1619,14,CNN_340M_E_17139_3,110.0
65,14,CNN_340M_E_17139_9,110.0
1386,14,CNN_340M_E_17139_6,110.0
3459,14,CNN_340M_E_17139_11,110.0
70,15,CNN_18O_J_5232_44,20.0
2062,15,CNN_18O_J_5232_7,20.0
102,16,CNN_F2S_E_21803_10,110.0
71,16,CNN_F2S_E_21803_22,110.0
1583,16,CNN_F2S_E_21803_1,110.0
1786,17,CNN_0504171444070108579663_E_218,110.0
3650,17,CNN_0504171444070108579663_E_218,110.0
72,17,CNN_0504171444070108579663_E_218,110.0
75,18,CNN_0503201540000054143280_E_917,110.0
471,18,CNN_0503201540000054143280_E_917,110.0
1278,18,CNN_0503201540000054143280_E_917,110.0
2202,19,CNN_51001.233a B5 violett_E_2033,110.0
3322,19,CNN_51001.233a B5 violett_E_2033,110.0
96,19,CNN_51001.233a B5 violett_E_2033,110.0
120,20,CNN_335B_E_3351_4,110.0
1071,20,CNN_335B_E_3351_1,110.0
2611,20,CNN_335B_E_3351_2,110.0
1617,21,CNN_0504200739130175420544_E_553,110.0
128,21,CNN_0504200739130175420544_E_553,110.0
2869,21,CNN_0504200739130175420544_E_553,110.0
129,22,CNN_0505081035070821588768_E_198,110.0
1858,22,CNN_0505081035070821588768_E_198,110.0
873,22,CNN_0505081035070821588768_E_198,110.0
3352,23,CNN_113F_E_21808_34,110.0
2280,23,CNN_113F_E_21808_7,110.0
177,23,CNN_113F_E_21808_15,110.0
2040,23,CNN_113F_E_21808_16,110.0
3674,23,CNN_113F_E_21808_9,110.0
3573,23,CNN_113F_E_21808_2,110.0
136,23,CNN_113F_E_21808_5,110.0
791,23,CNN_113F_E_21808_20,110.0
1962,23,CNN_113F_E_21808_17,110.0
1967,23,CNN_113F_E_21808_18,110.0
306,23,CNN_113F_E_21808_14,110.0
792,23,CNN_113F_E_21808_24,110.0
1199,23,CNN_113F_E_21808_6,110.0
3644,23,CNN_113F_E_21808_8,110.0
137,24,CNN_62E_J_14179_39,20.0
831,24,CNN_62E_J_14179_4,20.0
3307,25,CNN_389A_J_2770_16,20.0
1924,25,CNN_389A_J_2770_1,20.0
156,25,CNN_389A_J_2770_88,20.0
2705,25,CNN_389A_J_2770_15,20.0
172,26,CNN_245B_E_26149_3,110.0
1161,27,CNN_734_E_18551_38,110.0
1879,27,CNN_734_E_18551_26,110.0
2022,27,CNN_734_E_18551_30,110.0
262,27,CNN_734_E_18551_29,110.0
1644,27,CNN_734_E_18551_17,110.0
183,27,CNN_734_E_18551_5,110.0
1113,27,CNN_734_E_18551_7,110.0
1082,27,CNN_734_E_18551_19,110.0
1340,27,CNN_734_E_18551_27,110.0
2067,27,CNN_734_E_18551_43,110.0
1680,27,CNN_734_E_18551_4,110.0
630,27,CNN_734_E_18551_3,110.0
99,27,CNN_734_E_18551_18,110.0
582,27,CNN_734_E_18551_16,110.0
2335,27,CNN_734_E_18551_28,110.0
870,27,CNN_734_E_18551_40,110.0
3399,27,CNN_734_E_18551_42,110.0
2973,27,CNN_734_E_18551_24,110.0
2200,27,CNN_734_E_18551_39,110.0
3298,27,CNN_734_E_18551_13,110.0
3270,27,CNN_734_E_18551_2,110.0
2139,27,CNN_734_E_18551_41,110.0
140,27,CNN_734_E_18551_6,110.0
2562,27,CNN_734_E_18551_25,110.0
3187,27,CNN_734_E_18551_1,110.0
932,27,CNN_734_E_18551_15,110.0
901,27,CNN_734_E_18551_32,110.0
184,28,CNN_0503251758590653515830_E_103,110.0
1838,28,CNN_0503251758590653515830_E_103,110.0
600,28,CNN_0503251758590653515830_E_103,110.0
794,29,CNN_576Q_E_28463_1,110.0
171,29,CNN_576Q_E_28463_6,110.0
2805,29,CNN_576Q_E_28463_3,110.0
185,29,CNN_576Q_E_28463_7,110.0
3171,29,CNN_576Q_E_28463_2,110.0
1865,30,CNN_629_J_19740_1,20.0
191,30,CNN_629_J_19740_38,20.0
193,31,CNN_0612220900190239481792_E_552,110.0
1842,31,CNN_0612220900190239481792_E_552,110.0
1015,31,CNN_0612220900190239481792_E_552,110.0
3251,32,CNN_649_J_19368_1,3.0
196,32,CNN_649_J_19368_39,3.0
1705,32,CNN_649_J_19368_13,3.0
375,33,CNN_0504171603490065997010_E_218,110.0
204,33,CNN_0504171603490065997010_E_218,110.0
877,33,CNN_0504171603490065997010_E_218,110.0
1296,34,CNN_60501.207 V11 schwarz_E_25_3,110.0
170,34,CNN_60501.207 V11 schwarz_E_25_1,110.0
208,34,CNN_60501.207 V11 schwarz_E_25_2,110.0
219,35,CNN_423E_J_22251_154,20.0
2937,35,CNN_423E_J_22251_124,20.0
11,35,CNN_423E_J_22251_133,20.0
1795,35,CNN_423E_J_22251_24,20.0
3011,36,CNN_69C_E_21248_18,110.0
728,36,CNN_69C_E_21248_7,110.0
722,36,CNN_69C_E_21248_11,110.0
3684,36,CNN_69C_E_21248_10,110.0
3136,36,CNN_69C_E_21248_12,110.0
1376,36,CNN_69C_E_21248_5,110.0
224,36,CNN_69C_E_21248_14,110.0
1687,36,CNN_69C_E_21248_13,110.0
3257,36,CNN_69C_E_21248_9,110.0
322,36,CNN_69C_E_21248_17,110.0
1945,36,CNN_69C_E_21248_8,110.0
2438,36,CNN_69C_E_21248_1,110.0
3754,36,CNN_69C_E_21248_3,110.0
1388,37,CNN_11351.156 E6 schwarz_E_3357_,110.0
2149,37,CNN_11351.156 E6 schwarz_E_3357_,110.0
232,37,CNN_11351.156 E6 schwarz_E_3357_,110.0
3138,38,CNN_4521.100B Günzburg Nor_C_198,380.0
233,38,CNN_4521.100B Günzburg Nor_C_198,380.0
1595,38,CNN_4521.100B Günzburg Nor_C_198,380.0
2709,39,CNN_64001.39 U6/2 blau_E_2758_3,110.0
357,39,CNN_64001.39 U6/2 blau_E_2758_1,110.0
242,39,CNN_64001.39 U6/2 blau_E_2758_2,110.0
247,40,CNN_332K_J_4052_24,20.0
2776,40,CNN_332K_J_4052_7,20.0
255,41,CNN_630C2_J_29032_21,10.0
629,41,CNN_630C2_J_29032_6,10.0
1657,41,CNN_630C2_J_29032_18,10.0
1045,42,CNN_173A_E_24_60,110.0
1184,42,CNN_173A_E_24_43,110.0
554,42,CNN_173A_E_24_11,110.0
1046,42,CNN_173A_E_24_17,110.0
510,42,CNN_173A_E_24_23,110.0
257,42,CNN_173A_E_24_44,110.0
1095,42,CNN_173A_E_24_1,110.0
601,42,CNN_173A_E_24_4,110.0
845,42,CNN_173A_E_24_20,110.0
719,42,CNN_173A_E_24_28,110.0
1509,42,CNN_173A_E_24_8,110.0
370,42,CNN_173A_E_24_61,110.0
1550,42,CNN_173A_E_24_26,110.0
2527,42,CNN_173A_E_24_70,110.0
2644,42,CNN_173A_E_24_54,110.0
3343,42,CNN_173A_E_24_19,110.0
1525,42,CNN_173A_E_24_47,110.0
2083,42,CNN_173A_E_24_6,110.0
3443,42,CNN_173A_E_24_2,110.0
2170,42,CNN_173A_E_24_71,110.0
188,42,CNN_173A_E_24_63,110.0
141,42,CNN_173A_E_24_69,110.0
2904,42,CNN_173A_E_24_66,110.0
3625,42,CNN_173A_E_24_42,110.0
2480,42,CNN_173A_E_24_74,110.0
1638,42,CNN_173A_E_24_53,110.0
2954,42,CNN_173A_E_24_12,110.0
73,42,CNN_173A_E_24_45,110.0
1584,42,CNN_173A_E_24_58,110.0
1596,42,CNN_173A_E_24_14,110.0
2103,42,CNN_173A_E_24_55,110.0
1718,43,CNN_62E_E_11932_12,110.0
1420,43,CNN_62E_E_11932_9,110.0
1900,43,CNN_62E_E_11932_10,110.0
1194,43,CNN_62E_E_11932_11,110.0
42,43,CNN_62E_E_11932_6,110.0
954,43,CNN_62E_E_11932_3,110.0
1275,43,CNN_62E_E_11932_1,110.0
