pp_idx,ppci_idx,name,vn_kv,isolated,sw_only
0,0,CNN_121K_E_20325_4,110.0,False,False
1,1,CNN_2Z_E_5490_12,110.0,False,True
2,2,CNN_168F_E_29689_8,110.0,False,True
3,3,CNN_F675B_J_29025_7,6.0,False,True
4,4,CNN_UW-Westtirol_D_19819_29,220.0,False,True
5,5,CNN_648E_J_31205_7,10.0,True,True
6,6,CNN_0504190848360363697221_E_212,110.0,False,True
7,7,CNN_113F_J_21809_15,20.0,True,True
8,8,CNN_629_J_19740_37,20.0,False,True
9,9,CNN_67001.126 A11A grün_E_19633_,110.0,True,True
10,10,CNN_613A_E_5503_31,110.0,False,True
11,11,CNN_423E_J_22251_133,20.0,False,True
12,12,CNN_0503251810190416964152_E_103,110.0,False,False
13,13,CNN_265_J_13697_8,20.0,False,False
14,14,CNN_712_E_18556_45,110.0,True,True
15,15,CNN_428_E_27_6,110.0,False,False
16,16,CNN_0710281706480057084608_E_217,110.0,False,False
17,17,CNN_F9R_C_18522_37,380.0,False,True
18,18,CNN_1111042223130364097958_E_284,110.0,False,False
19,19,CNN_61501.37C X6/1 grün_E_5525_1,110.0,False,False
20,20,CNN_249K_J_29023_4,6.0,False,True
21,21,CNN_395A_E_20331_1,110.0,False,False
22,22,CNN_490N_J_3340_4,6.0,False,True
23,23,CNN_613A_E_5503_9,110.0,False,False
24,24,CNN_651_E_11941_3,110.0,False,True
25,25,CNN_0503191711250122255485_E_128,110.0,False,False
26,26,CNN_114B_E_12889_4,110.0,False,True
27,27,CNN_173A_C_18538_16,380.0,True,True
28,28,CNN_589U1_E_5495_11,110.0,True,False
29,29,CNN_729_J_28456_1,6.0,False,False
30,30,CNN_11611.38 R11 schwarz_E_19636,110.0,False,True
31,31,CNN_0503201405540428246838_E_119,110.0,False,True
32,32,CNN_389A_J_2770_69,20.0,False,True
33,33,CNN_640_E_3354_1,110.0,False,False
34,34,CNN_675B_E_3327_17,110.0,False,True
35,35,CNN_179U_E_9171_28,110.0,True,True
36,36,CNN_0504220936230037520775_E_20_,110.0,False,True
37,37,CNN_613U_E_5509_52,110.0,False,True
38,38,CNN_428_E_27_22,110.0,False,True
39,39,CNN_648E_E_1054_9,110.0,False,True
40,40,CNN_640_E_3354_19,110.0,False,True
41,41,CNN_61103.86B Y6/1 blau_E_21252_,110.0,False,False
42,42,CNN_62E_E_11932_6,110.0,False,False
43,43,CNN_729_E_28454_8,110.0,False,False
44,44,CNN_0504220831140043061238_E_222,110.0,False,False
45,45,CNN_0504141054130037632449_E_331,110.0,False,True
46,46,CNN_0503251749520137940660_E_103,110.0,False,True
47,47,CNN_179M_E_9174_1,110.0,False,False
48,48,CNN_1011072033470024663500_E_276,110.0,False,False
49,49,CNN_0504161613250201014072_E_331,110.0,False,False
50,50,CNN_F12R_C_18529_4,380.0,False,False
51,51,CNN_F10R_C_18519_17,380.0,False,True
52,52,CNN_630C2_E_29031_15,110.0,False,True
53,53,CNN_729_E_28454_7,110.0,True,False
54,54,CNN_724D_J_3325_3,6.0,False,True
55,55,CNN_122U_E_5493_41,110.0,False,True
56,56,CNN_0503251419100004533638_E_967,110.0,False,False
57,57,CNN_1102021624450231749824_E_197,110.0,False,True
58,58,CNN_648E_J_29909_38,20.0,False,True
59,59,CNN_1005091115250417830182_E_105,110.0,False,False
60,60,CNN_395A_E_20331_9,110.0,False,True
61,61,CNN_866_E_468_2,110.0,False,True
62,62,CNN_245B_E_26149_1,110.0,False,False
63,63,CNN_835_J_28478_1,6.0,True,False
64,64,CNN_529N_J_29_13,20.0,False,True
65,65,CNN_340M_E_17139_9,110.0,False,True
66,66,CNN_719_E_10789_10,110.0,False,True
67,67,CNN_675B_J_3816_30,20.0,True,True
68,68,CNN_442A_E_12892_11,110.0,False,True
69,69,CNN_249K_E_3342_8,110.0,False,False
70,70,CNN_18O_J_5232_44,20.0,False,True
71,71,CNN_F2S_E_21803_22,110.0,False,True
72,72,CNN_0504171444070108579663_E_218,110.0,False,True
73,73,CNN_173A_E_24_45,110.0,False,True
74,74,CNN_0710281702020080748504_E_217,110.0,False,False
75,75,CNN_0503201540000054143280_E_917,110.0,False,False
76,76,CNN_290F_E_16312_2,110.0,False,True
77,77,CNN_69001.235 R6/1 violett_E_261,110.0,False,False
78,78,CNN_F5S_E_5502_10,110.0,False,True
79,79,CNN_0505101220410228924756_E_332,110.0,False,False
80,80,CNN_48U_E_5535_8,110.0,False,True
81,81,CNN_57R_J_11928_13,20.0,False,False
82,82,CNN_0503201501170278527200_E_128,110.0,False,False
83,83,CNN_675B_E_3327_7,110.0,False,False
84,84,CNN_182_E_1060_7,110.0,False,False
85,85,CNN_640_J_3613_3,20.0,False,False
86,86,CNN_0503201816360000496392_E_107,110.0,False,True
87,87,CNN_62001.37a J6 rot_E_22_3,110.0,False,False
88,88,CNN_866_E_468_3,110.0,False,True
89,89,CNN_630F2_E_3309_8,110.0,False,False
90,90,CNN_F675B_J_29025_1,6.0,False,False
91,91,CNN_253Q_J_26130_4,6.0,False,True
92,92,CNN_732U_E_28467_2,110.0,False,True
93,93,CNN_0505100840540674652198_E_261,110.0,False,False
94,94,CNN_198S_E_134_3,110.0,False,True
95,95,CNN_729_E_28454_22,110.0,False,True
96,96,CNN_51001.233a B5 violett_E_2033,110.0,False,False
97,97,CNN_179M_J_11035_7,20.0,True,False
98,98,CNN_0504190848360160824960_E_550,110.0,False,True
99,99,CNN_734_E_18551_18,110.0,False,True
100,100,CNN_179M_E_9174_2,110.0,False,True
101,101,CNN_588X_E_5523_6,110.0,False,True
102,102,CNN_F2S_E_21803_10,110.0,False,True
103,103,CNN_588X_E_5523_15,110.0,True,True
104,104,CNN_589U1_E_5495_34,110.0,False,True
105,105,CNN_685A_J_10390_4,10.0,False,False
106,106,CNN_11501.119 V11 schwarz_E_26_3,110.0,False,False
107,107,CNN_589U1_E_5495_12,110.0,False,False
108,108,CNN_173A_E_24_77,110.0,True,True
109,109,CNN_2U_E_5491_6,110.0,False,False
110,110,CNN_0505100854500116846843_E_261,110.0,False,True
111,111,CNN_629_E_19741_2,110.0,False,False
112,112,CNN_340M_E_17139_5,110.0,False,False
113,113,CNN_339H_J_3336_3,6.0,False,True
