,bus,element,closed,from_ppci,to_ppci
0,1590,361,True,1590,361
1,1798,1811,False,1798,1811
2,2193,3617,True,2193,3617
3,887,214,True,887,214
4,143,1994,True,143,1994
5,2506,2840,True,2506,2840
6,2913,1257,True,2913,1257
7,1500,101,True,1500,101
8,34,2104,True,34,2104
9,541,656,True,541,656
10,1831,3106,False,1831,3106
11,101,1591,True,101,1591
12,2340,380,True,2340,380
13,2986,1609,True,2986,1609
14,2172,950,True,2172,950
15,1291,3497,False,1291,3497
16,1050,393,True,1050,393
17,224,1319,False,224,1319
18,1723,1202,True,1723,1202
19,932,3187,True,932,3187
20,1192,328,True,1192,328
21,347,964,True,347,964
22,3671,1304,True,3671,1304
23,2644,845,True,2644,845
24,1196,1407,False,1196,1407
25,2684,3470,True,2684,3470
26,3603,450,False,3603,450
27,3409,2543,False,3409,2543
28,2041,1527,True,2041,1527
29,1829,243,True,1829,243
30,3212,1826,True,3212,1826
31,2812,3065,True,2812,3065
32,3679,174,True,3679,174
33,3416,2765,False,3416,2765
34,1980,305,False,1980,305
35,3284,2093,True,3284,2093
36,1447,1383,False,1447,1383
37,629,1657,True,629,1657
38,1769,759,True,1769,759
39,1311,2262,False,1311,2262
40,492,238,True,492,238
41,766,477,False,766,477
42,2998,855,True,2998,855
43,2685,334,True,2685,334
44,2632,117,True,2632,117
45,3597,2578,True,3597,2578
46,2480,1584,True,2480,1584
47,3652,3523,True,3652,3523
48,1083,2753,True,1083,2753
49,594,1401,False,594,1401
50,353,1700,True,353,1700
51,3727,2404,True,3727,2404
52,2898,1704,True,2898,1704
53,2249,2990,False,2249,2990
54,2779,3462,True,2779,3462
55,3345,3085,True,3345,3085
56,1969,2275,False,1969,2275
57,2016,3554,True,2016,3554
58,478,997,True,478,997
59,2205,403,False,2205,403
60,3645,2742,True,3645,2742
61,806,2923,True,806,2923
62,2194,1345,False,2194,1345
63,1951,1773,True,1951,1773
64,1283,2692,False,1283,2692
65,2219,1571,True,2219,1571
66,1315,2309,False,1315,2309
67,704,3297,False,704,3297
68,1625,330,True,1625,330
69,1537,2218,False,1537,2218
70,3213,2168,True,3213,2168
71,2444,3009,True,2444,3009
72,907,2835,True,907,2835
73,1165,1788,True,1165,1788
74,2488,2391,True,2488,2391
75,1325,2553,True,1325,2553
76,1967,3644,True,1967,3644
77,2421,3653,True,2421,3653
78,1684,3340,True,1684,3340
79,36,1580,True,36,1580
80,1428,1658,True,1428,1658
81,591,12,True,591,12
82,1743,3039,False,1743,3039
83,2589,135,True,2589,135
84,2250,3140,True,2250,3140
85,1994,645,True,1994,645
86,2570,458,True,2570,458
87,422,2692,False,422,2692
88,1616,3246,False,1616,3246
89,207,1210,False,207,1210
90,278,1610,True,278,1610
91,1414,654,False,1414,654
92,1010,593,True,1010,593
93,1862,3195,True,1862,3195
94,696,47,True,696,47
95,884,1605,True,884,1605
96,3058,402,True,3058,402
97,2569,1504,True,2569,1504
98,2461,3461,False,2461,3461
99,2909,1787,True,2909,1787
100,2837,3122,True,2837,3122
101,2783,2694,False,2783,2694
102,2575,3654,True,2575,3654
103,1827,505,True,1827,505
104,3512,1997,True,3512,1997
105,2821,493,True,2821,493
106,2071,34,True,2071,34
107,3193,3233,True,3193,3233
108,3395,606,True,3395,606
109,2527,2644,True,2527,2644
110,1298,1365,True,1298,1365
111,2777,554,False,2777,554
112,2903,1559,True,2903,1559
113,1328,1985,True,1328,1985
114,1467,2118,False,1467,2118
115,1704,132,True,1704,132
116,594,3421,True,594,3421
117,1087,641,True,1087,641
118,2579,1020,True,2579,1020
119,3540,3117,True,3540,3117
120,1981,2201,True,1981,2201
121,17,1369,False,17,1369
122,1442,758,True,1442,758
123,3589,2600,False,3589,2600
124,2695,2430,True,2695,2430
125,2561,2911,False,2561,2911
126,1143,1823,True,1143,1823
127,1916,1211,True,1916,1211
128,3050,2581,True,3050,2581
129,51,2617,True,51,2617
130,3280,879,True,3280,879
131,2993,2631,True,2993,2631
132,1414,1966,True,1414,1966
133,2882,3666,True,2882,3666
134,101,1771,True,101,1771
135,808,699,True,808,699
136,3556,2212,True,3556,2212
137,3715,59,True,3715,59
138,110,2247,True,110,2247
139,2913,1554,True,2913,1554
140,242,357,True,242,357
141,758,1530,True,758,1530
142,3422,1133,True,3422,1133
143,1086,198,True,1086,198
144,227,1916,True,227,1916
145,2610,3555,True,2610,3555
146,2891,2214,True,2891,2214
147,2658,2185,True,2658,2185
148,1501,1016,True,1501,1016
149,1518,3749,False,1518,3749
150,226,1214,False,226,1214
151,2986,646,True,2986,646
152,602,3125,True,602,3125
